project_id,name,requirements,budget,deadline
1,Project 1,Android Developer,1000 USD,6/30/2024
2,Project 2,AI Engineer,2000 USD,7/15/2024
3,Project 3,Web Developer,1500 USD,07-10-2024
4,Project 4,Cyber Security,2500 USD,08-05-2024
5,Project 5,Project Manager,1800 USD,7/20/2024
6,Project 6,Android Developer,1200 USD,6/25/2024
7,Project 7,AI Engineer,3000 USD,7/30/2024
8,Project 8,Web Developer,2200 USD,08-10-2024
9,Project 9,Cyber Security,2800 USD,8/15/2024
10,Project 10,Project Manager,3500 USD,8/20/2024
11,Project 11,Android Developer,4000 USD,8/25/2024
12,Project 12,AI Engineer,5000 USD,09-05-2024
13,Project 13,Web Developer,3200 USD,09-10-2024
14,Project 14,Cyber Security,4500 USD,9/15/2024
15,Project 15,Project Manager,2700 USD,9/20/2024
16,Project 16,Android Developer,1800 USD,9/25/2024
17,Project 17,AI Engineer,3500 USD,9/30/2024
18,Project 18,Web Developer,4000 USD,10-05-2024
19,Project 19,Cyber Security,2600 USD,10-10-2024
20,Project 20,Project Manager,3200 USD,10/15/2024
21,Project 21,Android Developer,3800 USD,10/20/2024
22,Project 22,AI Engineer,4200 USD,10/25/2024
23,Project 23,Web Developer,2900 USD,10/30/2024
24,Project 24,Cyber Security,3100 USD,11-05-2024
25,Project 25,Project Manager,4300 USD,11-10-2024
26,Project 26,Android Developer,3700 USD,11/15/2024
27,Project 27,AI Engineer,4500 USD,11/20/2024
28,Project 28,Web Developer,2800 USD,11/25/2024
29,Project 29,Cyber Security,3000 USD,11/30/2024
30,Project 30,Project Manager,3900 USD,12-05-2024
31,Project 31,Android Developer,4200 USD,12-10-2024
32,Project 32,AI Engineer,5000 USD,12/15/2024
33,Project 33,Web Developer,3300 USD,12/20/2024
34,Project 34,Cyber Security,4800 USD,12/25/2024
35,Project 35,Project Manager,3100 USD,12/30/2024
36,Project 36,Android Developer,3700 USD,01-05-2025
37,Project 37,AI Engineer,4200 USD,01-10-2025
38,Project 38,Web Developer,2800 USD,1/15/2025
39,Project 39,Cyber Security,3000 USD,1/20/2025
40,Project 40,Project Manager,3900 USD,1/25/2025
41,Project 41,Android Developer,4200 USD,1/30/2025
42,Project 42,AI Engineer,5000 USD,02-05-2025
43,Project 43,Web Developer,3300 USD,02-10-2025
44,Project 44,Cyber Security,4800 USD,2/15/2025
45,Project 45,Project Manager,3100 USD,2/20/2025
